label,connections,window,frames_per_conn,width,height,channels,chains,fps,req_mb_per_s,p50_ms,p99_ms,mean_ms,max_ms,cold_first_ms,failures
phase7_gaussian_naive_streams1,4,8,300,1024,1024,3,1,305.645,916.936,89.5533,171.794,103.165,181.994,66.0867,0
phase7_gaussian_tile16_streams1,4,8,300,1024,1024,3,1,492.453,1477.36,62.0045,82.6631,63.7831,89.4105,47.0636,0
phase7_gaussian_tile32_streams1,4,8,300,1024,1024,3,1,450.098,1350.3,70.5687,96.0964,69.9291,103.958,76.252,0
phase7_sobel_naive_streams1,4,8,300,1024,1024,3,1,573.878,1721.63,53.798,68.5754,54.8303,73.6185,46.6941,0
phase7_sobel_tile16_streams1,4,8,300,1024,1024,3,1,579.636,1738.91,53.5365,68.9617,54.2476,70.8209,47.6956,0
phase7_sobel_tile32_streams1,4,8,300,1024,1024,3,1,580.439,1741.32,53.163,73.0433,54.1184,74.3447,49.6369,0
phase7_full_naive_streams1,4,8,300,1024,1024,3,1,267.862,803.585,116.583,130.314,117.607,139.684,76.4005,0
phase7_full_tile16_streams1,4,8,300,1024,1024,3,1,477.8,1433.4,65.3811,75.1538,65.7398,75.6176,51.554,0
phase7_full_tile32_streams1,4,8,300,1024,1024,3,1,535.317,1605.95,56.7582,74.6265,58.6747,77.2239,44.9702,0
phase7_full_naive_streams4,4,8,300,1024,1024,3,1,322.936,968.808,94.6314,121.974,97.5815,129.211,81.4202,0
phase7_full_tile16_streams4,4,8,300,1024,1024,3,1,506.736,1520.21,62.1138,75.2394,62.3423,82.2867,49.2788,0
