label,connections,window,frames_per_conn,width,height,channels,chains,fps,req_mb_per_s,p50_ms,p99_ms,mean_ms,max_ms,cold_first_ms,failures
phase8_res512_c64,4,16,400,512,512,3,1,963.233,722.425,54.8064,138.168,64.0036,142.713,34.0916,0
phase8_res512_c128,4,32,400,512,512,3,1,1276.01,957.01,96.98,106.032,94.5068,107.882,52.4029,0
phase8_res1024_c64,4,16,300,1024,1024,3,1,309.088,927.263,208.083,220.814,200.349,223.278,85.8994,0
phase8_res1024_c128,4,32,300,1024,1024,3,1,322.454,967.362,366.627,429.154,370,434.837,135.127,0
phase8_res2048_c64,4,16,150,2048,2048,3,1,68.852,826.224,900.265,957.539,875.098,964.947,273.861,0
phase8_res2048_c128,4,32,150,2048,2048,3,1,69.2309,830.771,1749.52,1820.3,1610.67,1846.62,588.077,0
phase8_res4096_c40,4,10,80,4096,4096,3,1,12.3603,593.294,3160.8,3384.24,3046.67,3404.89,768.273,0
